fixIdx,tickLead,togo,area
1405,4483.91834042907,159.531,134520.52753464167
1406,4488.91834042907,159.476,78759.80051639886
1408,4498.91834042907,159.449,38740.07335645729
1409,4503.91834042907,159.39,84725.46436493701
1411,4513.91834042907,159.355,50357.61154969732
1412,4518.91834042907,159.32,50402.32057476327
1414,4528.91834042907,159.252,98109.48700118391
1415,4533.91834042907,159.239,18772.158420108284
1417,4543.91834042907,159.217,31834.837298420454
1418,4548.91834042907,159.117,144807.53709824767
1419,4553.91834042907,159.052,94179.51688963518
1420,4558.91834042907,159.027,36252.404670141696
1423,4573.91834042907,158.96,97447.92027827649
1424,4578.91834042907,158.865,138252.99854695093
1425,4583.91834042907,158.777,128131.95907520266
1426,4588.91834042907,158.681,139851.72849749334
1427,4593.91834042907,158.606,109319.29263600372
1430,4608.91834042907,158.545,89165.10669572091
1431,4613.91834042907,158.499,67289.4958108464
1433,4623.91834042907,158.446,77672.97331558245
1434,4628.91834042907,158.414,46935.010091163036
1436,4638.91834042907,158.352,91105.9996354856
1437,4643.91834042907,158.351,1470.7428701759302
1438,4648.91834042907,158.337,20611.593119527945
1439,4653.91834042907,158.24,142912.38012639785
1440,4658.91834042907,158.134,156239.82688973393
1441,4663.91834042907,158.047,128293.88573716662
1442,4668.91834042907,157.989,85581.68404486807
1443,4673.91834042907,157.945,64972.587546481634
1444,4678.91834042907,157.92,36947.6635399991
1446,4688.91834042907,157.901,28136.318704626327
1447,4693.91834042907,157.791,163001.57155996095
1448,4698.91834042907,157.76,45965.1998184715
1450,4708.91834042907,157.68,118830.49610437203
1451,4714.91834042907,157.581,147156.5572213056
1452,4719.91834042907,157.482,147220.09157695423
1453,4724.91834042907,157.379,153232.3288993541
1454,4729.91834042907,157.281,145854.9782899196
1455,4734.91834042907,157.161,178662.86313615047
1456,4739.91834042907,157.04,180203.73698023355
1457,4744.91834042907,156.906,199612.84986276153
1458,4749.91834042907,156.782,184759.05566218463
1459,4754.91834042907,156.656,187786.88394322037
1460,4759.91834042907,156.521,201244.0877236037
1461,4764.91834042907,156.379,211713.8987182702
1462,4769.91834042907,156.235,214724.62829875038
1463,4774.91834042907,156.104,195372.51175859742
1464,4779.91834042907,155.96,214796.22292623078
1465,4784.91834042907,155.809,225260.17011767742
1466,4789.91834042907,155.676,198434.36599773157
1467,4794.91834042907,155.537,207421.48808568585
1468,4799.91834042907,155.411,188058.15102309416
1469,4804.91834042907,155.288,183624.64878470125
1470,4809.91834042907,155.15,206059.03730773233
1471,4814.91834042907,155.008,212060.7328535674
1472,4819.91834042907,154.87,206114.95845838398
1473,4824.91834042907,154.733,204651.8594344057
1474,4829.91834042907,154.605,191241.89178775228
1475,4834.91834042907,154.48,186800.09190643986
1476,4839.91834042907,154.347,198794.76235549067
1477,4844.91834042907,154.21,204805.88516638553
1478,4849.91834042907,154.078,197362.6545441215
