fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
889,,,,1504.0,3405.107668183208,-4503.66759380786,129,2,129.949
890,,,,1494.0,3407.107668183208,-4501.66759380786,130,2,129.913
891,,,,1483.0,3409.107668183208,-4499.66759380786,131,2,129.864
892,,,,1477.0,3411.107668183208,-4497.66759380786,132,2,129.82
893,,,,1480.0,3413.107668183208,-4495.66759380786,133,2,129.78
894,,,,1477.0,3415.107668183208,-4493.66759380786,134,2,129.746
895,,,,1469.0,3417.107668183208,-4491.66759380786,135,2,129.71
896,,,,1463.0,3419.107668183208,-4489.66759380786,136,2,129.673
897,,,,1453.0,3421.107668183208,-4487.66759380786,137,2,129.632
898,,,,1443.0,3423.107668183208,-4485.66759380786,138,2,129.587
899,,,,1437.0,3425.107668183208,-4483.66759380786,139,2,129.543
900,,,,1432.0,3427.107668183208,-4481.66759380786,140,2,129.499
901,,,,1422.0,3429.107668183208,-4479.66759380786,141,2,129.456
902,,,,1414.0,3431.107668183208,-4477.66759380786,142,2,129.413
903,,,,1407.0,3433.107668183208,-4475.66759380786,143,2,129.371
904,,,,1401.0,3435.107668183208,-4473.66759380786,144,2,129.331
905,,,,1398.0,3437.107668183208,-4471.66759380786,145,2,129.292
906,,,,1392.0,3439.107668183208,-4469.66759380786,146,2,129.255
907,,,,1383.0,3441.107668183208,-4467.66759380786,147,2,129.217
908,,,,1371.0,3443.107668183208,-4465.66759380786,148,2,129.173
909,,,,1363.0,3445.107668183208,-4463.66759380786,149,2,129.127
910,,,,1357.0,3447.107668183208,-4461.66759380786,150,2,129.079
911,,,,1353.0,3449.107668183208,-4459.66759380786,151,2,129.031
912,,,,1346.0,3451.107668183208,-4457.66759380786,152,2,128.984
913,,,,1338.0,3453.107668183208,-4455.66759380786,153,2,128.934
914,,,,1331.0,3455.107668183208,-4453.66759380786,154,2,128.883
915,,,,1329.0,3457.107668183208,-4451.66759380786,155,2,128.831
916,,,,1326.0,3459.107668183208,-4449.66759380786,156,2,128.779
917,,,,1326.0,3461.107668183208,-4447.66759380786,157,2,128.729
918,,,,1324.0,3463.107668183208,-4445.66759380786,158,2,128.68
919,,,,1315.0,3465.107668183208,-4443.66759380786,159,2,128.634
920,,,,1307.0,3467.107668183208,-4441.66759380786,160,2,128.592
921,,,,1303.0,3469.107668183208,-4439.66759380786,161,2,128.545
922,,,,1296.0,3471.107668183208,-4437.66759380786,162,2,128.499
923,,,,1286.0,3473.107668183208,-4435.66759380786,163,2,128.458
924,,,,1276.0,3475.107668183208,-4433.66759380786,164,2,128.415
925,,,,1272.0,3477.107668183208,-4431.66759380786,165,2,128.369
926,,,,1270.0,3479.107668183208,-4429.66759380786,166,2,128.331
927,,,,1265.0,3481.107668183208,-4427.66759380786,167,2,128.292
928,,,,1260.0,3483.107668183208,-4425.66759380786,168,2,128.244
929,,,,1255.0,3485.107668183208,-4423.66759380786,169,2,128.2
930,,,,1252.0,3487.107668183208,-4421.66759380786,170,2,128.163
931,,,,1244.0,3489.107668183208,-4419.66759380786,171,2,128.128
932,,,,1231.0,3491.107668183208,-4417.66759380786,172,2,128.088
933,,,,1221.0,3493.107668183208,-4415.66759380786,173,2,128.027
934,,,,1216.0,3495.107668183208,-4413.66759380786,174,2,127.975
935,,,,1214.0,3497.107668183208,-4411.66759380786,175,2,127.924
936,,,,1210.0,3499.107668183208,-4409.66759380786,176,2,127.877
937,,,,1201.0,3501.107668183208,-4407.66759380786,177,2,127.835
938,,,,1192.0,3503.107668183208,-4405.66759380786,178,2,127.792
939,,,,1185.0,3505.107668183208,-4403.66759380786,179,2,127.73
940,,,,1186.0,3507.107668183208,-4401.66759380786,180,2,127.672
941,,,,1183.0,3509.107668183208,-4399.66759380786,181,2,127.616
942,,,,1176.0,3511.107668183208,-4397.66759380786,182,2,127.563
943,,,,1170.0,3513.107668183208,-4395.66759380786,183,2,127.509
944,,,,1163.0,3515.107668183208,-4393.66759380786,184,2,127.455
945,,,,1155.0,3517.107668183208,-4391.66759380786,185,2,127.403
946,,,,1145.0,3519.107668183208,-4389.66759380786,186,2,127.352
947,,,,1135.0,3521.107668183208,-4387.66759380786,187,2,127.298
948,,,,1127.0,3523.107668183208,-4385.66759380786,188,2,127.247
949,,,,1122.0,3525.107668183208,-4383.66759380786,189,2,127.199
950,,,,1118.0,3527.107668183208,-4381.66759380786,190,2,127.151
951,,,,1117.0,3529.107668183208,-4379.66759380786,191,2,127.107
952,,,,1109.0,3531.107668183208,-4377.66759380786,192,2,127.065
953,,,,1099.0,3533.107668183208,-4375.66759380786,193,2,127.018
954,,,,1092.0,3535.107668183208,-4373.66759380786,194,2,126.969
955,,,,1088.0,3537.107668183208,-4371.66759380786,195,2,126.919
